パス,名前,種類,アクセス許可,継承,適用先
"H:\20231018","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\20231018","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\20231018","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\20231018","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\20231018","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\2023_CALL","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\2023_CALL","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2023_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\2023_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2023_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\2023_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\2023_CALL","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\2023_CALL","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\2023_Itabasi","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\2023_Itabasi","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2023_Itabasi","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\2023_Itabasi","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2023_Itabasi","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\2023_Itabasi","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\2023_Itabasi","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\2023_Itabasi","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\2024_CALL","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\2024_CALL","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2024_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\2024_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2024_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\2024_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\2024_CALL","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\2024_CALL","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\2025_CALL","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\2025_CALL","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2025_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
