名前,グループ,プロファイル,有効,規則,操作,プログラム,ローカルIP,リモートIP,ローカルアドレス,リモートアドレス,プロトコル,ローカルポート,リモートポート
Windows Media Player (UDP 受信),Windows Media Player,"すべて",無効,受信,許可,%ProgramFiles%\Windows Media Player\wmplayer.exe,任意,任意,任意,任意,UDP,任意,任意
Windows Media Player x86 (UDP 受信),Windows Media Player,"すべて",無効,受信,許可,%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe,任意,任意,任意,任意,UDP,任意,任意
Windows Media Player ネットワーク共有サービス (HTTP ストリーミング受信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,TCP,10243,任意
Windows Media Player ネットワーク共有サービス (HTTP ストリーミング受信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,10243,任意
Windows Media Player ネットワーク共有サービス (qWave TCP 受信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,2177,任意
Windows Media Player ネットワーク共有サービス (qWave TCP 受信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,2177,任意
Windows Media Player ネットワーク共有サービス (qWave UDP 受信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,2177,任意
Windows Media Player ネットワーク共有サービス (qWave UDP 受信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,2177,任意
Windows Media Player ネットワーク共有サービス (SSDP 受信),Windows Media Player ネットワーク共有サービス,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,1900,任意
Windows Media Player ネットワーク共有サービス (TCP 受信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,受信,許可,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,任意,任意,任意,任意,TCP,任意,任意
Windows Media Player ネットワーク共有サービス (TCP 受信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,受信,許可,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Windows Media Player ネットワーク共有サービス (UDP 受信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,受信,許可,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,任意
Windows Media Player ネットワーク共有サービス (UDP 受信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,受信,許可,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,任意,任意,任意,任意,UDP,任意,任意
Windows Media Player ネットワーク共有サービス (UPnP 受信),Windows Media Player ネットワーク共有サービス,"すべて",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,2869,任意
Windows Media Player ネットワーク共有サービス (ストリーミング UDP 受信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,受信,許可,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,任意,任意,任意,任意,UDP,任意,任意
Windows Media Player ネットワーク共有サービス (ストリーミング UDP 受信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,受信,許可,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,任意
Windows グループ作業ツール コンピューター名の登録サービス (PNRP 受信),Windows グループ作業ツール コンピューター名の登録サービス,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,3540,任意
Windows グループ作業ツール コンピューター名の登録サービス (SSDP 受信),Windows グループ作業ツール コンピューター名の登録サービス,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,1900,任意
Windows シェル エクスペリエンス,Windows シェル エクスペリエンス,"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows セキュリティ,Windows セキュリティ,"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows ピア ツー ピア共同作業ファンデーション (PNRP 受信),Windows ピア ツー ピア共同作業ファンデーション,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,3540,任意
Windows ピア ツー ピア共同作業ファンデーション (SSDP 受信),Windows ピア ツー ピア共同作業ファンデーション,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,1900,任意
Windows ピア ツー ピア共同作業ファンデーション (TCP 受信),Windows ピア ツー ピア共同作業ファンデーション,"すべて",無効,受信,許可,%SystemRoot%\system32\p2phost.exe,任意,任意,任意,任意,TCP,任意,任意
Windows ピア ツー ピア共同作業ファンデーション (WSD 受信),Windows ピア ツー ピア共同作業ファンデーション,"すべて",無効,受信,許可,%SystemRoot%\system32\p2phost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,3702,任意
Windows リモート管理 (HTTP 受信),Windows リモート管理,"ドメイン, プライベート",無効,受信,許可,System,任意,任意,任意,任意,TCP,5985,任意
Windows リモート管理 (HTTP 受信),Windows リモート管理,"パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,5985,任意
Windows リモート管理 - 互換モード (HTTP-In),Windows リモート管理 (互換性),"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,TCP,80,任意
Windows リモート管理 - 互換モード (HTTP-In),Windows リモート管理 (互換性),"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,80,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
WFD ASP Coordination Protocol (UDP 受信),WLAN サービス - WFD Application Services Platform Coordination Protocol (UDP 使用),"すべて",有効,受信,許可,%systemroot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,7235,7235
WFD ドライバーのみ (TCP 受信),WLAN サービス - WFD サービス カーネル モード ドライバー規則,"すべて",有効,受信,許可,System,任意,任意,任意,任意,TCP,任意,任意
WFD ドライバーのみ (UDP 受信),WLAN サービス - WFD サービス カーネル モード ドライバー規則,"すべて",有効,受信,許可,System,任意,任意,任意,任意,UDP,任意,任意
アカウント,アカウント,"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
キー管理サービス (TCP 受信),キー管理サービス,"ドメイン",無効,受信,許可,%SystemRoot%\system32\sppextcomobj.exe,任意,任意,任意,任意,TCP,1688,任意
キー管理サービス (TCP 受信),キー管理サービス,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\sppextcomobj.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,1688,任意
コア ネットワーク - IPHTTPS (TCP-受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,TCP,IPHTTPSIn,任意
コア ネットワーク - IPv6 (IPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,41,任意,任意
コア ネットワーク - IPv6 用動的ホスト構成プロトコル (DHCPV6-受信),コア ネットワーク,"すべて",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,546,547
コア ネットワーク - Teredo (UDP 受信),コア ネットワーク,"すべて",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,Teredo,任意
