名前,グループ,プロファイル,有効,規則,操作,プログラム,ローカルIP,リモートIP,ローカルアドレス,リモートアドレス,プロトコル,ローカルポート,リモートポート
パフォーマンス ログと警告 (TCP 受信),パフォーマンス ログと警告,"ドメイン",無効,受信,許可,%systemroot%\system32\plasrv.exe,任意,任意,任意,任意,TCP,任意,任意
ファイルとプリンターの共有 (LLMNR UDP 受信),ファイルとプリンターの共有,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,5355,任意
ファイルとプリンターの共有 (NB セッション受信),ファイルとプリンターの共有,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,139,任意
ファイルとプリンターの共有 (NB セッション受信),ファイルとプリンターの共有,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,TCP,139,任意
ファイルとプリンターの共有 (NB データグラム受信),ファイルとプリンターの共有,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,138,任意
ファイルとプリンターの共有 (NB データグラム受信),ファイルとプリンターの共有,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,UDP,138,任意
ファイルとプリンターの共有 (NB 名受信),ファイルとプリンターの共有,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,137,任意
ファイルとプリンターの共有 (NB 名受信),ファイルとプリンターの共有,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,UDP,137,任意
ファイルとプリンターの共有 (SMB 受信),ファイルとプリンターの共有,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,445,任意
ファイルとプリンターの共有 (SMB 受信),ファイルとプリンターの共有,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,TCP,445,任意
ファイルとプリンターの共有 (Spooler Service - RPC),ファイルとプリンターの共有,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\spoolsv.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPC,任意
ファイルとプリンターの共有 (Spooler Service - RPC),ファイルとプリンターの共有,"ドメイン",無効,受信,許可,%SystemRoot%\system32\spoolsv.exe,任意,任意,任意,任意,TCP,RPC,任意
ファイルとプリンターの共有 (エコー要求 - ICMPv4 受信),ファイルとプリンターの共有,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,ICMPv4,RPC,任意
ファイルとプリンターの共有 (エコー要求 - ICMPv4 受信),ファイルとプリンターの共有,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット4,任意,ローカルサブネット4,ICMPv4,RPC,任意
ファイルとプリンターの共有 (エコー要求 - ICMPv6 受信),ファイルとプリンターの共有,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
ファイルとプリンターの共有 (エコー要求 - ICMPv6 受信),ファイルとプリンターの共有,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
ファイルとプリンターの共有 (スプーラー サービス - RPC-EPMAP),ファイルとプリンターの共有,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
ファイルとプリンターの共有 (スプーラー サービス - RPC-EPMAP),ファイルとプリンターの共有,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPCEPMap,任意
ファイルとプリンターの共有 (スプーラー サービス ワーカー - RPC),ファイルとプリンターの共有,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\spoolsvworker.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPC,任意
ファイルとプリンターの共有 (スプーラー サービス ワーカー - RPC),ファイルとプリンターの共有,"ドメイン",無効,受信,許可,%SystemRoot%\system32\spoolsvworker.exe,任意,任意,任意,任意,TCP,RPC,任意
ファイルとプリンターの共有 (制限付き) (LLMNR-UDP 入力),ファイルとプリンターの共有 (制限付き),"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,5355,任意
ファイルとプリンターの共有 (制限付き) (SMB 入力),ファイルとプリンターの共有 (制限付き),"すべて",無効,受信,許可,System,任意,任意,任意,任意,TCP,445,任意
ファイルとプリンターの共有 (制限付き) (エコー要求 - ICMPv4 受信),ファイルとプリンターの共有 (制限付き),"すべて",無効,受信,許可,System,任意,任意,任意,任意,ICMPv4,RPC,任意
ファイルとプリンターの共有 (制限付き) (エコー要求 - ICMPv6 受信),ファイルとプリンターの共有 (制限付き),"すべて",無効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
ファイルとプリンターの共有 (制限付き) (スプーラー サービス - RPC),ファイルとプリンターの共有 (制限付き),"すべて",無効,受信,許可,%SystemRoot%\system32\spoolsv.exe,任意,任意,任意,任意,TCP,RPC,任意
ファイルとプリンターの共有 (制限付き) (スプーラー サービス - RPC-EPMAP),ファイルとプリンターの共有 (制限付き),"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
ファイルとプリンターの共有 (制限付き) (スプーラー サービス ワーカー - RPC),ファイルとプリンターの共有 (制限付き),"すべて",無効,受信,許可,%SystemRoot%\system32\spoolsvworker.exe,任意,任意,任意,任意,TCP,RPC,任意
リモート アシスタンス (DCOM 受信),リモート アシスタンス,"ドメイン",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,135,任意
リモート アシスタンス (PNRP-受信),リモート アシスタンス,"ドメイン, プライベート",有効,受信,許可,%systemroot%\system32\svchost.exe,任意,任意,任意,任意,UDP,3540,任意
リモート アシスタンス (PNRP-受信),リモート アシスタンス,"パブリック",無効,受信,許可,%systemroot%\system32\svchost.exe,任意,任意,任意,任意,UDP,3540,任意
リモート アシスタンス (RA サーバー TCP 受信),リモート アシスタンス,"ドメイン",有効,受信,許可,%SystemRoot%\system32\raserver.exe,任意,任意,任意,任意,TCP,任意,任意
リモート アシスタンス (SSDP TCP-受信),リモート アシスタンス,"ドメイン, プライベート",有効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,2869,任意
リモート アシスタンス (SSDP UDP-受信),リモート アシスタンス,"ドメイン, プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,1900,任意
リモート アシスタンス (TCP 受信),リモート アシスタンス,"ドメイン, プライベート",有効,受信,許可,%SystemRoot%\system32\msra.exe,任意,任意,任意,任意,TCP,任意,任意
リモート アシスタンス (TCP 受信),リモート アシスタンス,"パブリック",無効,受信,許可,%SystemRoot%\system32\msra.exe,任意,任意,任意,任意,TCP,任意,任意
リモート イベント モニター (RPC),リモート イベント モニター,"すべて",無効,受信,許可,%SystemRoot%\system32\NetEvtFwdr.exe,任意,任意,任意,任意,TCP,RPC,任意
リモート イベント モニター (RPC-EPMAP),リモート イベント モニター,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
リモート イベント ログ管理 (RPC-EPMAP),リモート イベントのログ管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPCEPMap,任意
リモート イベント ログ管理 (RPC-EPMAP),リモート イベントのログ管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
リモート イベントのログ管理 (NP 受信),リモート イベントのログ管理,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,TCP,445,任意
リモート イベントのログ管理 (NP 受信),リモート イベントのログ管理,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,445,任意
リモート イベントのログ管理 (RPC),リモート イベントのログ管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPC,任意
リモート イベントのログ管理 (RPC),リモート イベントのログ管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPC,任意
リモート サービス管理 (NP 受信),リモート サービス管理,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,TCP,445,任意
リモート サービス管理 (NP 受信),リモート サービス管理,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,445,任意
リモート サービス管理 (RPC),リモート サービス管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\services.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPC,任意
リモート サービス管理 (RPC),リモート サービス管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\services.exe,任意,任意,任意,任意,TCP,RPC,任意
リモート サービス管理 (RPC-EPMAP),リモート サービス管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
リモート サービス管理 (RPC-EPMAP),リモート サービス管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPCEPMap,任意
リモート シャットダウンの受信規則 (RPC-EP 受信),リモート シャットダウン,"すべて",無効,受信,許可,%systemroot%\system32\wininit.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
リモート シャットダウンの受信規則 (TCP 受信),リモート シャットダウン,"すべて",無効,受信,許可,%systemroot%\system32\wininit.exe,任意,任意,任意,任意,TCP,RPC,任意
リモート デスクトップ - シャドウ (TCP 受信),リモート デスクトップ,"すべて",有効,受信,許可,%SystemRoot%\system32\RdpSa.exe,任意,任意,任意,任意,TCP,任意,任意
リモート デスクトップ - ユーザー モード (TCP 受信),リモート デスクトップ,"すべて",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,3389,任意
リモート デスクトップ - ユーザー モード (UDP 受信),リモート デスクトップ,"すべて",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,3389,任意
リモート デスクトップ - (TCP-WSS 受信),リモート デスクトップ (WebSocket),"すべて",無効,受信,許可,System,任意,任意,任意,任意,TCP,3392,任意
リモート ボリューム管理 - 仮想ディスク サービス (RPC),リモート ボリューム管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\vds.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPC,任意
リモート ボリューム管理 - 仮想ディスク サービス (RPC),リモート ボリューム管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\vds.exe,任意,任意,任意,任意,TCP,RPC,任意
リモート ボリューム管理 - 仮想ディスク サービス ローダー (RPC),リモート ボリューム管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\vdsldr.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPC,任意
リモート ボリューム管理 - 仮想ディスク サービス ローダー (RPC),リモート ボリューム管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\vdsldr.exe,任意,任意,任意,任意,TCP,RPC,任意
リモート ボリューム管理 (RPC-EPMAP),リモート ボリューム管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPCEPMap,任意
リモート ボリューム管理 (RPC-EPMAP),リモート ボリューム管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
ルーティングとリモート アクセス (GRE 受信),ルーティングとリモート アクセス,"すべて",無効,受信,許可,System,任意,任意,任意,任意,47,任意,任意
ルーティングとリモート アクセス (L2TP 受信),ルーティングとリモート アクセス,"すべて",無効,受信,許可,System,任意,任意,任意,任意,UDP,1701,任意
ルーティングとリモート アクセス (PPTP 受信),ルーティングとリモート アクセス,"すべて",無効,受信,許可,System,任意,任意,任意,任意,TCP,1723,任意
ワイヤレス ディスプレイ (TCP 入力),ワイヤレス ディスプレイ,"すべて",有効,受信,許可,%systemroot%\system32\WUDFHost.exe,任意,任意,任意,任意,TCP,任意,任意
ワイヤレス ディスプレイ インフラストラクチャ バック チャネル (TCP 受信),ワイヤレス ディスプレイ,"すべて",有効,受信,許可,%systemroot%\system32\CastSrv.exe,任意,任意,任意,任意,TCP,7250,任意
ワイヤレス ポータブル デバイス (SSDP 受信),ワイヤレス ポータブル デバイス,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,1900,任意
ワイヤレス ポータブル デバイス (UPnP 受信),ワイヤレス ポータブル デバイス,"すべて",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,2869,任意
仮想マシンの監視 (DCOM 受信),仮想マシンの監視,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,135,任意
仮想マシンの監視 (NB セッション受信),仮想マシンの監視,"すべて",無効,受信,許可,System,任意,任意,任意,任意,TCP,139,任意
仮想マシンの監視 (RPC),仮想マシンの監視,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPC,任意
仮想マシンの監視 (エコー要求 - ICMPv4 受信),仮想マシンの監視,"すべて",無効,受信,許可,System,任意,任意,任意,任意,ICMPv4,任意,任意
仮想マシンの監視 (エコー要求 - ICMPv6 受信),仮想マシンの監視,"すべて",無効,受信,許可,System,任意,任意,任意,任意,ICMPv6,任意,任意
TCP 上の近接通信共有 (TCP 共有),近接通信共有,"すべて",有効,受信,許可,%SystemRoot%\system32\proximityuxhost.exe,任意,任意,任意,任意,TCP,任意,任意
職場または学校アカウント,職場または学校アカウント,"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
分散トランザクション コーディネーター (RPC),分散トランザクション コーディネーター,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPC,任意
分散トランザクション コーディネーター (RPC),分散トランザクション コーディネーター,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPC,任意
分散トランザクション コーディネーター (RPC-EPMAP),分散トランザクション コーディネーター,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
分散トランザクション コーディネーター (RPC-EPMAP),分散トランザクション コーディネーター,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPCEPMap,任意
分散トランザクション コーディネーター (TCP 受信),分散トランザクション コーディネーター,"ドメイン",無効,受信,許可,%SystemRoot%\system32\msdtc.exe,任意,任意,任意,任意,TCP,任意,任意
分散トランザクション コーディネーター (TCP 受信),分散トランザクション コーディネーター,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\msdtc.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
@{Clipchamp.Clipchamp_3.0.10220.0_neutral__yxz26nhyzhsrt?ms-resource://Clipchamp.Clipchamp/Resources/Clipchamp/AppName},@{Clipchamp.Clipchamp_3.0.10220.0_neutral__yxz26nhyzhsrt?ms-resource://Clipchamp.Clipchamp/Resources/Clipchamp/AppName},"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.GetHelp_10.2302.10601.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.GetHelp/Resources/appDisplayName},@{Microsoft.GetHelp_10.2302.10601.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.GetHelp/Resources/appDisplayName},"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.StorePurchaseApp_22312.1400.6.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.StorePurchaseApp/Resources/DisplayTitle},@{Microsoft.StorePurchaseApp_22312.1400.6.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.StorePurchaseApp/Resources/DisplayTitle},"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.WindowsCamera_2023.2312.3.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsCamera/LensSDK/Resources/AppStoreName},@{Microsoft.WindowsCamera_2023.2312.3.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsCamera/LensSDK/Resources/AppStoreName},"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.WindowsFeedbackHub_1.2401.20253.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsFeedbackHub/Resources/AppStoreName},@{Microsoft.WindowsFeedbackHub_1.2401.20253.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsFeedbackHub/Resources/AppStoreName},"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar},@{Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar},"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.XboxIdentityProvider_12.110.15002.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxIdentityProvider/Resources/DisplayName},@{Microsoft.XboxIdentityProvider_12.110.15002.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxIdentityProvider/Resources/DisplayName},"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.ZuneMusic_11.2312.8.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.ZuneMusic/Resources/AppStoreName},@{Microsoft.ZuneMusic_11.2312.8.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.ZuneMusic/Resources/AppStoreName},"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft Teams,{78E1CD88-49E3-476E-B926-580E596AD309},"すべて",有効,送信,許可,C:\Program Files\WindowsApps\MSTeams_26032.208.4399.5_x64__8wekyb3d8bbwe\ms-teams.exe,任意,任意,任意,任意,UDP,任意,任意
Microsoft Teams,{78E1CD88-49E3-476E-B926-580E596AD309},"すべて",有効,送信,許可,C:\Program Files\WindowsApps\MSTeams_26032.208.4399.5_x64__8wekyb3d8bbwe\ms-teams.exe,任意,任意,任意,任意,TCP,任意,任意
Microsoft Teams,{78E1CD88-49E3-476E-B926-580E596AD309},"すべて",有効,送信,許可,C:\Program Files\WindowsApps\MSTeams_26032.208.4399.5_x64__8wekyb3d8bbwe\ms-teams.exe,任意,任意,任意,任意,UDP,任意,任意
Microsoft Teams,{78E1CD88-49E3-476E-B926-580E596AD309},"すべて",有効,送信,許可,C:\Program Files\WindowsApps\MSTeams_26032.208.4399.5_x64__8wekyb3d8bbwe\ms-teams.exe,任意,任意,任意,任意,TCP,任意,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"プライベート",有効,送信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,任意,任意,任意,任意,TCP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"パブリック",有効,送信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,任意,任意,任意,任意,TCP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"パブリック",有効,送信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,任意,任意,任意,任意,UDP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"プライベート",有効,送信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,任意,任意,任意,任意,UDP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"パブリック",有効,送信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,任意,任意,任意,任意,TCP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"プライベート",有効,送信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,任意,任意,任意,任意,UDP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"パブリック",有効,送信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,任意,任意,任意,任意,UDP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"プライベート",有効,送信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,任意,任意,任意,任意,TCP,7000,任意
AllJoyn ルーター (TCP 送信),AllJoyn ルーター,"ドメイン, プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
AllJoyn ルーター (UDP 送信),AllJoyn ルーター,"ドメイン, プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,任意
App Installer,App Installer,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
BranchCache コンテンツ取得 (HTTP-送信),BranchCache - コンテンツ取得 (HTTP を使用),"すべて",無効,送信,許可,SYSTEM,任意,任意,任意,任意,TCP,任意,80
BranchCache ピア検出 (WSD-送信),BranchCache - ピア検出 (WSD を使用),"すべて",無効,送信,許可,%systemroot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,3702
BranchCache ホスト型キャッシュ クライアント (HTTP-送信),BranchCache - ホスト型キャッシュ クライアント (HTTPS を使用),"すべて",無効,送信,許可,SYSTEM,任意,任意,任意,任意,TCP,任意,80 443
BranchCache ホスト型キャッシュ サーバー (HTTP-送信),BranchCache - ホスト型キャッシュ サーバー (HTTPS を使用),"すべて",無効,送信,許可,SYSTEM,任意,任意,任意,任意,TCP,80 443,任意
Connected Devices Platform - Wi-Fi Direct トランスポート (TCP 送信),Connected Devices Platform,"パブリック",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
Connected Devices Platform (TCP 送信),Connected Devices Platform,"ドメイン, プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
Connected Devices Platform (UDP 送信),Connected Devices Platform,"ドメイン, プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,任意
Connected User Experiences and Telemetry,DiagTrack,"すべて",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,443
Intel(R) Management and Security Status,Intel(R) Management and Security Status,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
iSCSI サービス (TCP 送信),iSCSI サービス,"ドメイン",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
iSCSI サービス (TCP 送信),iSCSI サービス,"プライベート, パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
mDNS (UDP 送信),mDNS,"ドメイン",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,5353
mDNS (UDP 送信),mDNS,"パブリック",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,5353
mDNS (UDP 送信),mDNS,"プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,5353
Media Center Extender - qWave (TCP 送信),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,2177
Media Center Extender - qWave (UDP 送信),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,2177
Media Center Extender - RTSP (TCP 送信),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\ehome\ehshell.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Media Center Extender - SSDP (UDP 送信),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,1900
Media Center Extender - WMDRM-ND/RTP/RTCP (UDP 送信),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\ehome\ehshell.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,任意
Media Center Extender - サービス (TCP 送信),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Media Center Extender - デバイス プロビジョニング (TCP 送信),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\ehome\mcx2prov.exe,任意,任意,任意,任意,TCP,任意,任意
Media Center Extenders - Media ストリーミング (TCP-Out),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Media Center Extenders - Media ストリーミング (UDP-Out),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,1900,任意
Media Center Extenders - UPnP (TCP-Out),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Media Center Extenders - デバイス評価 (TCP-Out),Media Center Extender,"すべて",無効,送信,許可,%SystemRoot%\ehome\mcrmgr.exe,任意,任意,任意,任意,TCP,任意,任意
Microsoft Content,Microsoft Content,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft Edge ゲームアシスト,Microsoft Edge ゲームアシスト,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft Family,Microsoft Family,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft Teams,Microsoft Teams,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft To Do,Microsoft To Do,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft ファミリー セーフティ,Microsoft ファミリー セーフティ,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft メディア ファンデーション ネットワーク ソース送信 [TCP ALL],Microsoft メディア ファンデーション ネットワーク ソース,"すべて",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,554 8554-8558
